"","ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","annotation","protein_id","deleteok","gen_acr","old_locus","Description","GO.IDs","GO.Names","Enzyme.Codes","Enzyme.Names","InterPro.IDs","InterPro.GO.IDs","InterPro.GO.Names"
"188","NIS_RS01010",302.362266945586,-1.48042796426827,0.423774720634766,-3.49343151486421,0.000476855278146764,0.00427063014252266,167,"  right-handed parallel beta-helix repeat-containing protein","  WP_012081565.1"," transl_table 11"," ","NIS_0188","right-handed parallel beta-helix repeat-containing protein","","","","",NA,NA,NA
"243","NIS_RS01325",983.456860406645,-1.15220873757949,0.433444844338753,-2.6582591825201,0.00785454621820149,0.0336919231231683,1555,"  type I methionyl aminopeptidase","  WP_012081620.1"," transl_table 11","  map","NIS_0243","type I methionyl aminopeptidase","P:GO:0006508; F:GO:0046872; F:GO:0070006; P:GO:0070084","P:proteolysis; F:metal ion binding; F:metalloaminopeptidase activity; P:protein initiator methionine removal","EC:3.4.11","Acting on peptide bonds (peptidases)",NA,NA,NA
"258","NIS_RS01400",4243.2733273843,-2.03350372248923,0.312522358577557,-6.50674637086674,7.67959080672924e-11,1.01421795920871e-08,1562,"  transketolase","  WP_012081635.1"," transl_table 11","  tkt","NIS_0258","transketolase","F:GO:0004802; C:GO:0016021; F:GO:0046872","F:transketolase activity; C:integral component of membrane; F:metal ion binding","EC:2.2.1.1","Transketolase",NA,NA,NA
"259","NIS_RS01405",119.262517459985,-1.57066710642281,0.512240874283132,-3.06626664383415,0.00216749925437571,0.0127035977009416,213,"  DDE-type integrase/transposase/recombinase","  WP_012081636.1"," transl_table 11"," ","NIS_0259","DDE-type integrase/transposase/recombinase","F:GO:0003677; P:GO:0015074; P:GO:0032196","F:DNA binding; P:DNA integration; P:transposition","","",NA,NA,NA
"276","NIS_RS01520",1677.31403210851,-1.06108774240918,0.324590424962298,-3.26900506240263,0.00107926370548915,0.0075018294756983,220,"  chemotaxis protein CheW","  WP_012081653.1"," transl_table 11"," ","NIS_0276","Chemotaxis signal transduction protein","P:GO:0006935; P:GO:0007165","P:chemotaxis; P:signal transduction","","",NA,NA,NA
"293","NIS_RS01605",5182.88762765112,-1.00757082674325,0.379052028430013,-2.65813331989406,0.00785748030434314,0.0336919231231683,234,"  FAD-dependent oxidoreductase","  WP_012081670.1"," transl_table 11"," ","NIS_0293","formate dehydrogenase","F:GO:0016491; F:GO:0051539; P:GO:0055114","F:oxidoreductase activity; F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process","","",NA,NA,NA
"294","NIS_RS01610",3848.19624943524,-1.50607562156826,0.41943685370069,-3.59070884754203,0.000329779860738377,0.00325021842847127,235,"  NADH-quinone oxidoreductase subunit G","  WP_012081671.1"," transl_table 11"," ","NIS_0294","NADH-quinone oxidoreductase subunit G","F:GO:0009055; P:GO:0022900; F:GO:0051536","F:electron transfer activity; P:electron transport chain; F:iron-sulfur cluster binding","","",NA,NA,NA
"295","NIS_RS01615",3828.33478210782,-1.90892611874327,0.396011774975132,-4.82037716899488,1.43287058800935e-06,4.43518224194768e-05,236,"  NADH-quinone oxidoreductase subunit G","  WP_012081672.1"," transl_table 11"," ","NIS_0295","NADH-quinone oxidoreductase subunit G","F:GO:0009055; P:GO:0022900; F:GO:0051536","F:electron transfer activity; P:electron transport chain; F:iron-sulfur cluster binding","","",NA,NA,NA
"297","NIS_RS01625",1636.93734211491,-1.39513512515795,0.358326741094141,-3.89347197727401,9.88196224092043e-05,0.00121591100616543,1578,"  NADH-quinone oxidoreductase subunit NuoI","  WP_012081674.1"," transl_table 11","  nuoI","NIS_0297","NADH-quinone oxidoreductase subunit NuoI","F:GO:0005506; C:GO:0005886; F:GO:0048038; F:GO:0050136; F:GO:0051539; P:GO:0055114","F:iron ion binding; C:plasma membrane; F:quinone binding; F:NADH dehydrogenase (quinone) activity; F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process","EC:1.6.5.11; EC:1.6.99.3","NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"298","NIS_RS01630",1305.32590454794,-1.21588676301312,0.385022862892171,-3.15795990367885,0.0015887740888005,0.0100559490641705,237,"  NADH-quinone oxidoreductase subunit J","  WP_012081675.1"," transl_table 11"," ","NIS_0298","NADH-quinone oxidoreductase subunit J","C:GO:0005886; F:GO:0008137; C:GO:0016021; F:GO:0048038; P:GO:0055114","C:plasma membrane; F:NADH dehydrogenase (ubiquinone) activity; C:integral component of membrane; F:quinone binding; P:oxidation-reduction process","EC:7.1.1.2; EC:1.6.5.11; EC:1.6.99.3","n/a; NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"299","NIS_RS01635",828.032043211018,-1.17415323707358,0.38097188982272,-3.08199441596586,0.00205618694631972,0.012195527966046,1579,"  NADH-quinone oxidoreductase subunit NuoK","  WP_012081676.1"," transl_table 11","  nuoK","NIS_0299","NADH-quinone oxidoreductase subunit NuoK","C:GO:0005886; C:GO:0016021; P:GO:0042773; F:GO:0048038; F:GO:0050136","C:plasma membrane; C:integral component of membrane; P:ATP synthesis coupled electron transport; F:quinone binding; F:NADH dehydrogenase (quinone) activity","EC:1.6.5.11; EC:1.6.99.3","NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"300","NIS_RS01640",3878.39844560432,-1.77258629810075,0.355315014172056,-4.98877398195844,6.07636876957451e-07,2.27118613821266e-05,1580,"  NADH-quinone oxidoreductase subunit L","  WP_041353956.1"," transl_table 11","  nuoL","NIS_0300","NADH-quinone oxidoreductase subunit L","F:GO:0008137; C:GO:0016021; P:GO:0042773","F:NADH dehydrogenase (ubiquinone) activity; C:integral component of membrane; P:ATP synthesis coupled electron transport","EC:7.1.1.2; EC:1.6.5.11; EC:1.6.99.3","n/a; NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"301","NIS_RS01645",2480.86873526168,-2.47163785469241,0.412730386298526,-5.98850469154624,2.11779031374847e-09,1.90697391433442e-07,238,"  NADH-quinone oxidoreductase subunit M","  WP_012081678.1"," transl_table 11"," ","NIS_0301","NADH-quinone oxidoreductase subunit M","F:GO:0008137; C:GO:0016021; P:GO:0042773","F:NADH dehydrogenase (ubiquinone) activity; C:integral component of membrane; P:ATP synthesis coupled electron transport","EC:7.1.1.2; EC:1.6.5.11; EC:1.6.99.3","n/a; NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"302","NIS_RS01650",4571.04891665768,-1.81682186689777,0.439790023941929,-4.13111204891194,3.61012548746642e-05,0.000550127583897767,1581,"  NADH-quinone oxidoreductase subunit NuoN","  WP_012081679.1"," transl_table 11","  nuoN","NIS_0302","NADH-quinone oxidoreductase subunit NuoN","C:GO:0005886; F:GO:0008137; C:GO:0016021; P:GO:0042773; F:GO:0048038","C:plasma membrane; F:NADH dehydrogenase (ubiquinone) activity; C:integral component of membrane; P:ATP synthesis coupled electron transport; F:quinone binding","EC:7.1.1.2; EC:1.6.5.11; EC:1.6.99.3","n/a; NADH dehydrogenase (quinone); NADH dehydrogenase",NA,NA,NA
"310","NIS_RS01705",204.931694616147,-1.08360049664812,0.415700959781671,-2.60668269136841,0.00914240384619138,0.037731462540219,245,"  UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","  WP_012081688.1"," transl_table 11"," ","NIS_0311","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","F:GO:0005524; C:GO:0005737; P:GO:0007049; P:GO:0008360; F:GO:0008764; P:GO:0009252; P:GO:0009396; P:GO:0051301; P:GO:0071555","F:ATP binding; C:cytoplasm; P:cell cycle; P:regulation of cell shape; F:UDP-N-acetylmuramoylalanine-D-glutamate ligase activity; P:peptidoglycan biosynthetic process; P:folic acid-containing compound biosynthetic process; P:cell division; P:cell wall organization","EC:6.3.2.9","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase",NA,NA,NA
"338","NIS_RS01855",4780.38388918202,-1.1281583592433,0.2692825950581,-4.18949601625715,2.79574689898312e-05,0.000446643113458514,268,"  FAD-binding protein","  WP_012081718.1"," transl_table 11"," ","NIS_0341","glycolate oxidase subunit GlcD","F:GO:0052852; F:GO:0052853; F:GO:0052854; P:GO:0055114; F:GO:0071949","F:very-long-chain-(S)-2-hydroxy-acid oxidase activity; F:long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity; F:medium-chain-(S)-2-hydroxy-acid oxidase activity; P:oxidation-reduction process; F:FAD binding","EC:1.1.3.15","(S)-2-hydroxy-acid oxidase",NA,NA,NA
"344","NIS_RS01885",439.305751046558,-1.15305542704906,0.341615180210993,-3.37530500353321,0.000737339237495232,0.00563964876246353,273,"  carbon-nitrogen hydrolase","  WP_012081724.1"," transl_table 11"," ","NIS_0347","carbon-nitrogen hydrolase","P:GO:0006807; F:GO:0016787","P:nitrogen compound metabolic process; F:hydrolase activity","","",NA,NA,NA
"345","NIS_RS01890",194.150495557403,-1.67748894561172,0.386748001942545,-4.33742110414555,1.44164257097852e-05,0.000274605185875812,274,"  metal ABC transporter permease","  WP_012081725.1"," transl_table 11"," ","NIS_0348","metal ABC transporter permease","C:GO:0005887; F:GO:0042626; C:GO:0043190; P:GO:0055085","C:integral component of plasma membrane; F:ATPase-coupled transmembrane transporter activity; C:ATP-binding cassette (ABC) transporter complex; P:transmembrane transport","","",NA,NA,NA
"353","NIS_RS01930",326.405796359003,-1.36856050023811,0.342833690603177,-3.99190784846812,6.55438440541065e-05,0.000871425201820033,282,"  hypothetical protein","  WP_050724124.1"," transl_table 11"," ","NIS_0356","hypothetical protein","","","","",NA,NA,NA
"354","NIS_RS01935",162.530270685893,-1.60191282023721,0.415283128790103,-3.85739922761675,0.000114599901746053,0.00137589336581171,283,"  hypothetical protein","  WP_012081734.1"," transl_table 11"," ","NIS_0357","hypothetical protein","C:GO:0016021; F:GO:0046872","C:integral component of membrane; F:metal ion binding","","",NA,NA,NA
"362","NIS_RS01975",528.348907572176,-1.34504047701553,0.461636701949072,-2.91363418752592,0.00357248263392163,0.0184299169213509,286,"  PD-(D/E)XK nuclease family protein","  WP_012081742.1"," transl_table 11"," ","NIS_0365","PD-(D/E)XK nuclease family protein","F:GO:0004527; F:GO:0005524; P:GO:0006281; P:GO:0090305","F:exonuclease activity; F:ATP binding; P:DNA repair; P:nucleic acid phosphodiester bond hydrolysis","","",NA,NA,NA
"405","NIS_RS02225",748.436575684068,-1.52079351797316,0.47726505958103,-3.18647570661929,0.00144017582026127,0.00932349117626657,319,"  HAMP domain-containing histidine kinase","  WP_012081787.1"," transl_table 11"," ","NIS_0410","sensor histidine kinase","F:GO:0000155; P:GO:0000160; F:GO:0005524; C:GO:0016021; P:GO:0023014","F:phosphorelay sensor kinase activity; P:phosphorelay signal transduction system; F:ATP binding; C:integral component of membrane; P:signal transduction by protein phosphorylation","EC:2.7.13.3","Histidine kinase",NA,NA,NA
"421","NIS_RS02310",697.476387469515,-1.20356781340442,0.362942172559094,-3.31614208654261,0.000912694124697425,0.00661559155602596,329,"  exodeoxyribonuclease VII large subunit","  WP_012081804.1"," transl_table 11"," ","NIS_0427","exodeoxyribonuclease VII large subunit","F:GO:0003676; C:GO:0005737; P:GO:0006308; F:GO:0008855; C:GO:0009318; P:GO:0090305","F:nucleic acid binding; C:cytoplasm; P:DNA catabolic process; F:exodeoxyribonuclease VII activity; C:exodeoxyribonuclease VII complex; P:nucleic acid phosphodiester bond hydrolysis","EC:3.1.11; EC:3.1.15; EC:3.1.11.6","Acting on ester bonds; Acting on ester bonds; Exodeoxyribonuclease VII",NA,NA,NA
"447","NIS_RS02445",5933.22792033672,-1.63789283626063,0.606568854036075,-2.70025871813593,0.00692855731936362,0.030637214396561,352,"  hypothetical protein","  WP_012081825.1"," transl_table 11"," ","NIS_0448","hypothetical protein","","","","",NA,NA,NA
"450","NIS_RS02465",1413.02574659841,-1.51041830676524,0.54427449036426,-2.77510398430464,0.00551840606287076,0.0254824298614149,356,"  hypothetical protein","  WP_012081829.1"," transl_table 11"," ","NIS_0452","phage-related protein","F:GO:0003676; F:GO:0004519; P:GO:0090305","F:nucleic acid binding; F:endonuclease activity; P:nucleic acid phosphodiester bond hydrolysis","","",NA,NA,NA
"454","NIS_RS02485",3176.92313314358,-1.57374390300062,0.581898755077166,-2.70449780012318,0.006840772265993,0.0304506150759055,361,"  hypothetical protein","  WP_012081833.1"," transl_table 11"," ","NIS_0456","hypothetical protein","","","","",NA,NA,NA
"486","NIS_RS02675",263.252747807261,-1.40644817498236,0.495267255743741,-2.83977621914516,0.00451451914472405,0.022246921456961,396,"  radical SAM protein","  WP_012081862.1"," transl_table 11"," ","NIS_0485","radical SAM protein","F:GO:0003824; F:GO:0051536","F:catalytic activity; F:iron-sulfur cluster binding","","",NA,NA,NA
"487","NIS_RS02680",847.565900180061,-1.72188082916314,0.421449841367387,-4.08561271153058,4.39606535787125e-05,0.000645793179788645,397,"  uroporphyrinogen decarboxylase","  WP_012081863.1"," transl_table 11"," ","NIS_0486","uroporphyrinogen decarboxylase","F:GO:0004853; C:GO:0005737; P:GO:0006782","F:uroporphyrinogen decarboxylase activity; C:cytoplasm; P:protoporphyrinogen IX biosynthetic process","EC:4.1.1.37","Uroporphyrinogen decarboxylase",NA,NA,NA
"489","NIS_RS02690",2200.86244903783,-1.98639371061766,0.401465616432069,-4.94785513208145,7.5035719552042e-07,2.58774112381743e-05,399,"  aspartate-semialdehyde dehydrogenase","  WP_197524233.1"," transl_table 11"," ","NIS_0488","aspartate-semialdehyde dehydrogenase","F:GO:0004073; P:GO:0009088; P:GO:0009089; P:GO:0009097; P:GO:0019877; F:GO:0046983; F:GO:0050661; F:GO:0051287; P:GO:0055114; P:GO:0071266","F:aspartate-semialdehyde dehydrogenase activity; P:threonine biosynthetic process; P:lysine biosynthetic process via diaminopimelate; P:isoleucine biosynthetic process; P:diaminopimelate biosynthetic process; F:protein dimerization activity; F:NADP binding; F:NAD binding; P:oxidation-reduction process; P:'de novo' L-methionine biosynthetic process","EC:1.2.1.11","Aspartate-semialdehyde dehydrogenase",NA,NA,NA
"494","NIS_RS02715",476.017505182506,-1.17297216867721,0.396212608072498,-2.96046149158025,0.0030717852078565,0.0164021738457243,403,"  ammonium transporter","  WP_012081869.1"," transl_table 11"," ","NIS_0492","ammonium transporter","F:GO:0008519; C:GO:0016021; P:GO:0072488","F:ammonium transmembrane transporter activity; C:integral component of membrane; P:ammonium transmembrane transport","","",NA,NA,NA
"496","NIS_RS02725",5972.49733317165,-1.62181055747039,0.302751635583873,-5.35690105965122,8.46614499608714e-08,4.79183806778532e-06,405,"  hypothetical protein","  WP_012081871.1"," transl_table 11"," ","NIS_0494","hypothetical protein","","","","",NA,NA,NA
"550","NIS_RS03015",214.903355881252,-2.08230810225823,0.413461859835827,-5.03627614669234,4.74675633150389e-07,1.91904577402229e-05,452,"  hypothetical protein","  WP_012081923.1"," transl_table 11"," ","NIS_0546","Sua5 YciO YrdC YwlC family protein","F:GO:0003725","F:double-stranded RNA binding","","",NA,NA,NA
"574","NIS_RS03155",1570.01883040823,-1.27657884070188,0.394021251017237,-3.2398730713284,0.00119582918282174,0.0080576109223465,1635,"  polysulfide reductase NrfD","  WP_012081949.1"," transl_table 11","  nrfD","NIS_0572","polysulfide reductase","C:GO:0016021","C:integral component of membrane","","",NA,NA,NA
"575","NIS_RS03160",5893.36205145457,-1.39147137726069,0.42084969173361,-3.30633811689107,0.00094523951359582,0.00675999810986758,474,"  molybdopterin-dependent oxidoreductase","  WP_012081950.1"," transl_table 11"," ","NIS_0573","molybdopterin-dependent oxidoreductase","F:GO:0016491; F:GO:0043546; F:GO:0046872; F:GO:0051539; P:GO:0055114","F:oxidoreductase activity; F:molybdopterin cofactor binding; F:metal ion binding; F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process","","",NA,NA,NA
"581","NIS_RS03190",675.226115588894,-1.54429904543018,0.307208339164962,-5.02687866360598,4.98527559567387e-07,1.97516619100599e-05,480,"  hypothetical protein","  WP_012081956.1"," transl_table 11"," ","NIS_0579","hypothetical protein","","","","",NA,NA,NA
"589","NIS_RS03230",52.8802508219602,-1.55767951496478,0.557913769124052,-2.79197180849365,0.00523879202220394,0.0247686085823055,484,"  hypothetical protein","  WP_041353996.1"," transl_table 11"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","NIS_RS03240",123.776972810345,-1.78042535767609,0.56893210085612,-3.12941624316316,0.00175153998598211,0.0107757786094117,486,"  MoxR family ATPase","  WP_012081965.1"," transl_table 11"," ","NIS_0588","MoxR family ATPase","F:GO:0005524; F:GO:0016887","F:ATP binding; F:ATPase activity","EC:3.6.1.3; EC:3.6.1.15","Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase",NA,NA,NA
"595","NIS_RS03260",104.884926969501,-1.90750003194832,0.478390315788921,-3.9873299458469,6.68210673609779e-05,0.000882483562947315,490,"  phosphatidylglycerophosphatase A","  WP_012081969.1"," transl_table 11"," ","NIS_0592","phosphatidylglycerophosphatase A","C:GO:0005886; P:GO:0006655; F:GO:0008962; P:GO:0009395; C:GO:0016021; P:GO:0016311; F:GO:0046872","C:plasma membrane; P:phosphatidylglycerol biosynthetic process; F:phosphatidylglycerophosphatase activity; P:phospholipid catabolic process; C:integral component of membrane; P:dephosphorylation; F:metal ion binding","EC:3.1.3.27","Phosphatidylglycerophosphatase",NA,NA,NA
"617","NIS_RS03380",435.629420716346,-1.2369673812881,0.356383445876302,-3.47088899779435,0.000518738387275481,0.00447515229362531,1645,"  flagellar biosynthesis protein FlhF","  WP_012081993.1"," transl_table 11","  flhF","NIS_0616","flagellar biosynthesis protein FlhF","F:GO:0003924; F:GO:0005525; P:GO:0006614; P:GO:0044781","F:GTPase activity; F:GTP binding; P:SRP-dependent cotranslational protein targeting to membrane; P:bacterial-type flagellum organization","EC:3.6.1.15","Nucleoside-triphosphate phosphatase",NA,NA,NA
"626","NIS_RS03425",686.837151861498,-1.06676814123405,0.334660553686764,-3.18761243140871,0.00143452675208983,0.00931736883898348,512,"  hypothetical protein","  WP_012082002.1"," transl_table 11"," ","NIS_0625","hypothetical protein","","","","",NA,NA,NA
"660","NIS_RS03635",1695.7986894204,-1.82363867942591,0.435075353817796,-4.19154673649849,2.77059097587907e-05,0.000446222823025726,1661,"  3-phosphoshikimate 1-carboxyvinyltransferase","  WP_012082038.1"," transl_table 11","  aroA","NIS_0661","3-phosphoshikimate 1-carboxyvinyltransferase","F:GO:0003866; C:GO:0005737; P:GO:0009073; P:GO:0009423","F:3-phosphoshikimate 1-carboxyvinyltransferase activity; C:cytoplasm; P:aromatic amino acid family biosynthetic process; P:chorismate biosynthetic process","EC:2.5.1.19","3-phosphoshikimate 1-carboxyvinyltransferase",NA,NA,NA
